SCHOOLID,Lat,Long,safe_passage,policy_implementation,Group,2013,2014,2015,2016,2017,2018
400009,41.8075785077,-87.7400974358,No,NA,All (Excludes Pre-K),96.5,96.4,95.9,96.3,96,95.3
400010,41.79612151,-87.6258490371,No,NA,All (Excludes Pre-K),90.8,89.4,88.1,87.6,85.4,91.2
400011,41.877248,-87.705235,No,NA,All (Excludes Pre-K),94.4,94.6,94.6,94.4,94.2,94.2
400013,41.937298,-87.727096,No,NA,All (Excludes Pre-K),96.1,91.7,87.6,90.8,90,89.3
400017,41.966405668,-87.7218246652,No,NA,All (Excludes Pre-K),94.8,95.2,95,94.9,93.8,95.3
400021,41.8822947837,-87.7653213752,No,NA,All (Excludes Pre-K),95.3,95.3,95.2,96.1,95.3,95.6
400023,41.743179,-87.587928,No,NA,All (Excludes Pre-K),98.7,96.4,94.4,95.6,95.6,95.1
400024,41.7940154237,-87.6702422406,No,NA,All (Excludes Pre-K),93.9,94,93.5,93.9,93.2,93.6
400025,41.9224139084,-87.6813946958,No,NA,All (Excludes Pre-K),94.9,94.3,93.8,95.1,94.5,93.9
400026,41.7202458543,-87.65759768,No,NA,All (Excludes Pre-K),97.8,94.4,95.3,92.5,91.8,90.9
400027,41.950891,-87.710492,No,NA,All (Excludes Pre-K),96.7,96.2,95.6,94,93.9,95
400028,41.684433,-87.616888,No,NA,All (Excludes Pre-K),95.3,95.6,95.1,95.6,94.8,94.8
400029,41.7836163451,-87.6221051133,No,NA,All (Excludes Pre-K),96.4,92.4,92.6,93.1,93,93.6
400030,41.9216867615,-87.7767852699,No,NA,All (Excludes Pre-K),96.7,96.6,96.4,96.4,96,95.5
400031,41.745365,-87.692614,No,NA,All (Excludes Pre-K),96.3,96,95,94.9,94.4,94.8
400032,41.748382,-87.66898,No,NA,All (Excludes Pre-K),94.4,95.8,95.6,91,88.7,89
400033,41.721221,-87.655768,No,NA,All (Excludes Pre-K),90,93,92.6,92.2,90.7,91.7
400034,41.9902175745,-87.7265036635,No,NA,All (Excludes Pre-K),95.9,95.7,95.4,94.3,93.4,94
400035,42.013031,-87.674818,No,NA,All (Excludes Pre-K),96,96.7,96.8,96.3,95.8,96.2
400036,41.88055,-87.649772,No,NA,All (Excludes Pre-K),95.3,95.1,94,95.1,71,88.8
400039,41.9067706354,-87.6943644455,No,NA,All (Excludes Pre-K),95.6,95.6,95.5,95.9,94.5,94.9
